"username,password",
"darlene,hotfork94",
"earl,fuckyou",
"quincy,999999999",
"jeanie,ce3N4NEGao",
"carl,J!QDO3O6qPOG",
"howard,rSRavWvW$Wlw",
"riely,CifeSONiTica",
"petunia,AnnasBananas22",
"venus,nikita",
"jasmine,qwerty123",
"ralphie,newmonster20",
"logan,jollywhale71",
"beverley,beverley123",
"orville,25oct1994",
"atticus,poorshoe18",
"kimberly,muddyfeast10",
"jaqueline,dampseal66",
"yvonne,NOV191977",
"jeremiah,jeremiah90",
"slate,bentline99",
"regal,fuzzysand69",
"xavier,cisco",
"zoonie,oJ%bGTh7fV6mathjNn2U2Wo",
